iteration,id,vl,vr,px,py
1,0,0.000000,0.000000,-1.181740,-0.862697
1,1,0.000000,0.000000,1.044910,-0.994588
1,2,0.000000,0.000000,0.531247,1.233080
1,3,0.000000,0.000000,-0.919392,-0.096664
1,4,0.000000,0.000000,1.344860,1.636460
1,5,0.000000,0.000000,-0.540147,-0.209748
1,6,0.000000,0.000000,-1.854560,-0.377369
1,7,0.000000,0.000000,0.753079,0.664982
1,8,0.000000,0.000000,-0.037410,-0.356007
1,9,0.000000,0.000000,-1.299960,-0.312395
1,10,0.000000,0.000000,1.132930,1.005350
1,11,0.000000,0.000000,-0.580508,1.145160
1,12,0.000000,0.000000,0.263958,-0.019759
1,13,0.000000,0.000000,-1.657360,1.214610
1,14,0.000000,0.000000,0.055722,-1.742080
1,15,0.000000,0.000000,0.747499,-1.553690
1,16,0.000000,0.000000,-1.203800,-1.056060
1,17,0.000000,0.000000,1.780700,-1.014780
1,18,0.000000,0.000000,1.721830,0.315308
1,19,0.000000,0.000000,-1.323380,-0.839070
2,0,0.300000,0.300000,-1.181777,-0.862532
2,1,0.300000,0.300000,1.045053,-0.994677
2,2,0.300000,0.300000,0.531346,1.233217
2,3,0.300000,0.300000,-0.919226,-0.096695
2,4,0.300000,0.300000,1.344807,1.636300
2,5,0.300000,0.300000,-0.540289,-0.209839
2,6,0.300000,0.300000,-1.854419,-0.377276
2,7,0.300000,0.300000,0.753059,0.665150
2,8,0.300000,0.300000,-0.037408,-0.356176
2,9,0.300000,0.300000,-1.300010,-0.312556
2,10,0.300000,0.300000,1.133073,1.005440
2,11,0.300000,0.300000,-0.580677,1.145153
2,12,0.300000,0.300000,0.264118,-0.019706
2,13,0.300000,0.300000,-1.657274,1.214465
2,14,0.300000,0.300000,0.055571,-1.742005
2,15,0.300000,0.300000,0.747629,-1.553582
2,16,0.300000,0.300000,-1.203912,-1.055934
2,17,0.300000,0.300000,1.780676,-1.014947
2,18,0.300000,0.300000,1.721661,0.315307
2,19,0.300000,0.300000,-1.323345,-0.838905
3,0,0.300000,0.300000,-1.181896,-0.862002
3,1,0.300000,0.300000,1.045515,-0.994964
3,2,0.300000,0.300000,0.531663,1.233658
3,3,0.300000,0.300000,-0.918691,-0.096792
3,4,0.300000,0.300000,1.344637,1.635783
3,5,0.300000,0.300000,-0.540747,-0.210132
3,6,0.300000,0.300000,-1.853965,-0.376978
3,7,0.300000,0.300000,0.752996,0.665690
3,8,0.300000,0.300000,-0.037400,-0.356719
3,9,0.300000,0.300000,-1.300172,-0.313075
3,10,0.300000,0.300000,1.133533,1.005730
3,11,0.300000,0.300000,-0.581220,1.145130
3,12,0.300000,0.300000,0.264635,-0.019535
3,13,0.300000,0.300000,-1.656998,1.213996
3,14,0.300000,0.300000,0.055084,-1.741762
